label,profile,start_update
A,101010,299701
B,010101,299671
A,101010,299634
B,010101,299611
A,101010,299579
B,010101,299546
A,101010,299523
B,010101,299487
A,101010,299454
B,010101,299429
A,101010,299406
B,010101,299373
A,101010,299347
B,010101,299322
A,101010,299293
B,010101,299256
A,101010,299224
B,010101,299194
A,101010,299165
B,010101,299133
A,101010,299103
B,010101,299062
A,101010,299036
B,010101,299006
A,101010,298970
B,010101,298942
A,101010,298920
B,010101,298894
A,101010,298857
B,010101,298818
A,101010,298781
B,010101,298744
A,101010,298720
B,010101,298693
A,101010,298663
B,010101,298636
A,101010,298608
B,010101,298582
A,101010,298560
B,010101,298518
A,101010,298488
B,010101,298456
A,101010,298430
B,010101,298398
A,101010,298366
B,010101,298338
A,101010,298314
B,010101,298285
A,101010,298259
B,010101,298237
A,101010,298201
B,010101,298174
A,101010,298152
B,010101,298119
A,101010,298083
B,010101,298055
A,101010,298029
B,010101,298003
A,101010,297973
B,010101,297946
A,101010,297920
B,010101,297895
A,101010,297867
B,010101,297836
A,101010,297816
B,010101,297791
A,101010,297764
B,010101,297736
A,101010,297707
B,010101,297685
A,101010,297657
B,010101,297622
A,101010,297595
B,010101,297563
A,101010,297545
B,010101,297510
A,101010,297486
B,010101,297453
A,101010,297421
B,010101,297385
A,101010,297365
B,010101,297335
A,101010,297305
B,010101,297263
A,101010,297232
B,010101,297201
A,101010,297176
B,010101,297147
A,101010,297111
B,010101,297082
A,101010,297056
B,010101,297018
A,101010,296991
B,010101,296968
A,101010,296939
B,010101,296915
A,101010,296884
B,010101,296860
A,101010,296837
B,010101,296803
A,101010,296781
B,010101,296756
A,101010,296720
B,010101,296689
A,101010,296657
B,010101,296624
A,101010,296589
B,010101,296557
A,101010,296528
B,010101,296501
A,101010,296471
B,010101,296445
A,101010,296421
B,010101,296391
A,101010,296360
B,010101,296329
A,101010,296289
B,010101,296263
A,101010,296240
B,010101,296215
A,101010,296182
B,010101,296154
A,101010,296122
B,010101,296102
A,101010,296081
B,010101,296050
A,101010,296018
B,010101,295989
A,101010,295955
B,010101,295933
A,101010,295917
B,010101,295886
A,101010,295848
B,010101,295821
A,101010,295782
B,010101,295756
A,101010,295728
B,010101,295698
A,101010,295668
B,010101,295646
A,101010,295617
B,010101,295584
A,101010,295560
B,010101,295540
A,101010,295513
B,010101,295488
A,101010,295459
B,010101,295430
A,101010,295403
B,010101,295374
A,101010,295344
B,010101,295320
A,101010,295290
B,010101,295260
A,101010,295232
B,010101,295198
A,101010,295178
B,010101,295151
A,101010,295115
B,010101,295087
A,101010,295050
B,010101,295012
A,101010,294984
B,010101,294953
A,101010,294928
B,010101,294898
A,101010,294870
B,010101,294825
A,101010,294782
B,010101,294747
A,101010,294733
B,010101,294717
A,101010,294680
B,010101,294641
A,101010,294616
B,010101,294586
A,101010,294558
B,010101,294519
A,101010,294486
